title,location,price,sq_ft,property_image,area,facing,status,floor,furnishing,hold_type,bathroom,map_url
4 BHK Apartment / Flat for Sale,"Vasant Vihar, New Delhi",8Cr,"200,000/Sq Yd.",https://www.propertiesguru.com/media/property/5522/building/small-img2312.jpg,400,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,5 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5614574&lng=77.160071
4 BHK Apartment / Flat for Sale,"Dwarka, New Delhi",2.5Cr,"10,870/Sq Ft.",https://www.propertiesguru.com/media/property/2101/building/small-joy-apartments-dwarka-delhi-1.jpg,2300,North-East,Ready to Move,4th of 5 Floor,Semi Furnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5733101&lng=77.04484300000001
4 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"9,600/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1250,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.67821135262089&lng=77.08663846350953
