title,location,price,sq_ft,property_image,area,facing,status,floor,furnishing,hold_type,bathroom,map_url
3 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.7Cr,"14,167/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1200,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.670343&lng=77.081631
3 BHK Apartment / Flat for Sale,"Dwarka Sector 7, New Delhi",85Lac,"6,538/Sq Ft.",https://www.propertiesguru.com/media/property/5542/building/small-20201021210652.jpg,1300,North,Under Construction,Ground of 3 Floor,Unfurnished,Co-Operative Society,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.584292&lng=77.071556
3 BHK Apartment / Flat for Sale,"Karampura, New Delhi",1.78Cr,"11,259/Sq Ft.",https://www.propertiesguru.com/media/property/5377/building/small-download.jpg,1581,North-East,Ready to Move,10th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.665971&lng=77.1509546
3 BHK Apartment / Flat for Sale,"New Friends Colony, New Delhi",3.5Cr,"140,000/Sq Yd.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,250,South-East,Ready to Move,Ground of 4 Floor,Semi Furnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.568413&lng=77.271125
3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.78Cr,"11,259/Sq Ft.",https://www.propertiesguru.com/media/property/5079/building/small-download.jpg,1581,North-East,Ready to Move,11th of 26 Floor,Semi Furnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.78Cr,"11,259/Sq Ft.",https://www.propertiesguru.com/media/property/4953/building/small-download.jpg,1581,North-East,Ready to Move,6th of 26 Floor,Unfurnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.88Cr,"11,750/Sq Ft.",https://www.propertiesguru.com/media/property/4911/building/small-download.jpg,1600,North-East,Ready to Move,12th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
3 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.49Cr,"20,098/Sq Ft.",https://www.propertiesguru.com/media/property/4900/building/small-0d47b5dd-a04d-4210-833a-be7fd3f6adb3.jpg,2234,North-East,Under Construction,5th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5249975&lng=77.280881
3 BHK Apartment / Flat for Sale,"Delhi Cantonment, New Delhi",1.78Cr,"11,259/Sq Ft.",https://www.propertiesguru.com/media/property/4815/building/small-dlf-capital-greens-copy.jpg,1581,North-East,Ready to Move,8th of 26 Floor,Semi Furnished,Power of Attorney,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5974805&lng=77.1230545
3 BHK Apartment / Flat for Sale,"Gurgaon Faridabad Road, New Delhi",85Lac,"5,667/Sq Ft.",https://www.propertiesguru.com/media/property/3144/building/small-paras-apartments-faridabad.jpg,1500,North-East,Ready to Move,2nd of 10 Floor,Semi Furnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.408399&lng=77.218244
3 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",45Lac,"9,000/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,500,East,Ready to Move,1st of 1 Floor,Unfurnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6677244&lng=77.09795150000002
